"Förskrivning till människor by varugrupp, kön, åldersgrupp, period and mätvärde"

"varugrupp";"kön";"åldersgrupp";"period";"mätvärde";"Förskrivning till människor"
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2022-05";"Förpackningar";17529
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2022-06";"AUP exkl moms";80359863
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2022-06";"Förpackningar";17684
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2022-07";"AUP exkl moms";71869306
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2022-07";"Förpackningar";16102
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2022-08";"AUP exkl moms";80680056
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2022-08";"Förpackningar";18095
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2022-09";"AUP exkl moms";82828518
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2022-09";"Förpackningar";18076
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2022-10";"AUP exkl moms";76880968
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2022-10";"Förpackningar";17693
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2022-11";"AUP exkl moms";80657401
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2022-11";"Förpackningar";17997
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2022-12";"AUP exkl moms";79988471
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2022-12";"Förpackningar";17728
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-01";"AUP exkl moms";81349997
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-01";"Förpackningar";18655
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-02";"AUP exkl moms";78243725
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-02";"Förpackningar";16806
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-03";"AUP exkl moms";83396838
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-03";"Förpackningar";18387
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-04";"AUP exkl moms";76040944
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-04";"Förpackningar";16252
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-05";"AUP exkl moms";88341366
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-05";"Förpackningar";18524
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-06";"AUP exkl moms";83660303
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-06";"Förpackningar";17637
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-07";"AUP exkl moms";78825939
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-07";"Förpackningar";17245
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-08";"AUP exkl moms";88509035
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-08";"Förpackningar";18673
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-09";"AUP exkl moms";83956519
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-09";"Förpackningar";18205
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-10";"AUP exkl moms";84576928
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-10";"Förpackningar";18655
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-11";"AUP exkl moms";88985650
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-11";"Förpackningar";18548
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-12";"AUP exkl moms";81871575
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2023-12";"Förpackningar";17604
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-01";"AUP exkl moms";93409654
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-01";"Förpackningar";20082
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-02";"AUP exkl moms";80627166
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-02";"Förpackningar";17626
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-03";"AUP exkl moms";87480700
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-03";"Förpackningar";17850
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-04";"AUP exkl moms";88947325
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-04";"Förpackningar";18777
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-05";"AUP exkl moms";92705738
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-05";"Förpackningar";19078
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-06";"AUP exkl moms";84288266
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-06";"Förpackningar";17372
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-07";"AUP exkl moms";92262380
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-07";"Förpackningar";18364
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-08";"AUP exkl moms";91993927
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-08";"Förpackningar";19203
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-09";"AUP exkl moms";89949050
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-09";"Förpackningar";18662
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-10";"AUP exkl moms";96011165
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-10";"Förpackningar";20155
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-11";"AUP exkl moms";85620137
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-11";"Förpackningar";18847
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-12";"AUP exkl moms";89541421
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"65 - 74";"2024-12";"Förpackningar";19300
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020";"AUP exkl moms";722959480
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020";"Förpackningar";167182
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021";"AUP exkl moms";821960933
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021";"Förpackningar";174951
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022";"AUP exkl moms";893013453
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022";"Förpackningar";191587
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023";"AUP exkl moms";995931351
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023";"Förpackningar";206655
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024";"AUP exkl moms";1096425416
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024";"Förpackningar";221361
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-01";"AUP exkl moms";63394944
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-01";"Förpackningar";15120
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-02";"AUP exkl moms";51913417
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-02";"Förpackningar";13474
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-03";"AUP exkl moms";66124993
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-03";"Förpackningar";16439
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-04";"AUP exkl moms";57471366
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-04";"Förpackningar";13461
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-05";"AUP exkl moms";55624697
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-05";"Förpackningar";12970
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-06";"AUP exkl moms";60418816
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-06";"Förpackningar";13542
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-07";"AUP exkl moms";63188914
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-07";"Förpackningar";13827
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-08";"AUP exkl moms";57616648
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-08";"Förpackningar";13026
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-09";"AUP exkl moms";62120084
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-09";"Förpackningar";13810
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-10";"AUP exkl moms";60448767
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-10";"Förpackningar";13819
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-11";"AUP exkl moms";60543885
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-11";"Förpackningar";13965
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-12";"AUP exkl moms";64092949
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2020-12";"Förpackningar";13728
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-01";"AUP exkl moms";63574170
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-01";"Förpackningar";14820
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-02";"AUP exkl moms";61297127
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-02";"Förpackningar";13976
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-03";"AUP exkl moms";72119276
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-03";"Förpackningar";15776
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-04";"AUP exkl moms";65262641
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-04";"Förpackningar";14005
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-05";"AUP exkl moms";68475026
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-05";"Förpackningar";14535
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-06";"AUP exkl moms";73145545
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-06";"Förpackningar";14544
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-07";"AUP exkl moms";70198998
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-07";"Förpackningar";14331
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-08";"AUP exkl moms";67307662
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-08";"Förpackningar";14337
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-09";"AUP exkl moms";69797496
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-09";"Förpackningar";14896
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-10";"AUP exkl moms";68957424
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-10";"Förpackningar";14416
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-11";"AUP exkl moms";70910403
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-11";"Förpackningar";14738
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-12";"AUP exkl moms";70915165
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2021-12";"Förpackningar";14576
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-01";"AUP exkl moms";78365485
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-01";"Förpackningar";15109
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-02";"AUP exkl moms";71138972
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-02";"Förpackningar";15324
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-03";"AUP exkl moms";82111602
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-03";"Förpackningar";17856
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-04";"AUP exkl moms";69552887
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-04";"Förpackningar";15050
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-05";"AUP exkl moms";73430300
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-05";"Förpackningar";16245
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-06";"AUP exkl moms";76422645
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-06";"Förpackningar";16022
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-07";"AUP exkl moms";69548953
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-07";"Förpackningar";14739
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-08";"AUP exkl moms";75485859
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-08";"Förpackningar";16427
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-09";"AUP exkl moms";74814186
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-09";"Förpackningar";16503
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-10";"AUP exkl moms";72784563
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-10";"Förpackningar";16026
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-11";"AUP exkl moms";75367062
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-11";"Förpackningar";16400
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-12";"AUP exkl moms";73990937
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2022-12";"Förpackningar";15886
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-01";"AUP exkl moms";84888562
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-01";"Förpackningar";18480
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-02";"AUP exkl moms";77143846
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-02";"Förpackningar";16896
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-03";"AUP exkl moms";87637589
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-03";"Förpackningar";18475
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-04";"AUP exkl moms";78005261
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-04";"Förpackningar";15805
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-05";"AUP exkl moms";86500436
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-05";"Förpackningar";17898
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-06";"AUP exkl moms";82662399
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-06";"Förpackningar";16826
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-07";"AUP exkl moms";84491581
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-07";"Förpackningar";16615
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-08";"AUP exkl moms";84420905
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-08";"Förpackningar";17392
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-09";"AUP exkl moms";84078059
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-09";"Förpackningar";17469
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-10";"AUP exkl moms";83437948
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-10";"Förpackningar";17515
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-11";"AUP exkl moms";84257153
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-11";"Förpackningar";17024
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-12";"AUP exkl moms";78407612
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2023-12";"Förpackningar";16258
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-01";"AUP exkl moms";95082096
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-01";"Förpackningar";19880
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-02";"AUP exkl moms";85922207
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-02";"Förpackningar";17818
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-03";"AUP exkl moms";90051720
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-03";"Förpackningar";17923
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-04";"AUP exkl moms";94096265
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-04";"Förpackningar";18933
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-05";"AUP exkl moms";97182981
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-05";"Förpackningar";18897
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-06";"AUP exkl moms";86021006
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-06";"Förpackningar";16776
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-07";"AUP exkl moms";93499405
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-07";"Förpackningar";18076
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-08";"AUP exkl moms";93635744
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-08";"Förpackningar";18596
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-09";"AUP exkl moms";88530693
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-09";"Förpackningar";18110
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-10";"AUP exkl moms";97487994
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-10";"Förpackningar";20021
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-11";"AUP exkl moms";88068803
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-11";"Förpackningar";18362
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-12";"AUP exkl moms";86846503
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"75 -";"2024-12";"Förpackningar";17971
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020";"AUP exkl moms";4048343931
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020";"Förpackningar";935959
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021";"AUP exkl moms";4225223419
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021";"Förpackningar";945163
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2022";"AUP exkl moms";4282157599
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2022";"Förpackningar";969388
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2023";"AUP exkl moms";4654771896
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2023";"Förpackningar";1010926
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2024";"AUP exkl moms";5039552265
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2024";"Förpackningar";1059073
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-01";"AUP exkl moms";345150454
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-01";"Förpackningar";80798
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-02";"AUP exkl moms";303161230
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-02";"Förpackningar";74126
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-03";"AUP exkl moms";387964025
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-03";"Förpackningar";95811
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-04";"AUP exkl moms";315404427
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-04";"Förpackningar";72315
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-05";"AUP exkl moms";299182762
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-05";"Förpackningar";69723
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-06";"AUP exkl moms";331174019
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-06";"Förpackningar";75388
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-07";"AUP exkl moms";340258422
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-07";"Förpackningar";76634
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-08";"AUP exkl moms";328724624
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-08";"Förpackningar";74260
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-09";"AUP exkl moms";347524023
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-09";"Förpackningar";78642
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-10";"AUP exkl moms";349799433
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-10";"Förpackningar";78945
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-11";"AUP exkl moms";342063284
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-11";"Förpackningar";79533
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-12";"AUP exkl moms";357937227
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2020-12";"Förpackningar";79784
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-01";"AUP exkl moms";335837241
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-01";"Förpackningar";77647
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-02";"AUP exkl moms";321820993
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-02";"Förpackningar";73570
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-03";"AUP exkl moms";366321056
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-03";"Förpackningar";83084
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-04";"AUP exkl moms";340557476
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-04";"Förpackningar";76789
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-05";"AUP exkl moms";340430454
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-05";"Förpackningar";77529
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-06";"AUP exkl moms";361354773
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-06";"Förpackningar";79841
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-07";"AUP exkl moms";356740512
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-07";"Förpackningar";76475
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-08";"AUP exkl moms";355284468
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-08";"Förpackningar";79153
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-09";"AUP exkl moms";364060488
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-09";"Förpackningar";80982
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-10";"AUP exkl moms";354286700
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-10";"Förpackningar";78970
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-11";"AUP exkl moms";360854823
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-11";"Förpackningar";80298
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-12";"AUP exkl moms";367674436
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2021-12";"Förpackningar";80825
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2022-01";"AUP exkl moms";352025624
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2022-01";"Förpackningar";76949
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2022-02";"AUP exkl moms";332443854
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2022-02";"Förpackningar";75509
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2022-03";"AUP exkl moms";390805083
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2022-03";"Förpackningar";90217
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2022-04";"AUP exkl moms";335984466
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2022-04";"Förpackningar";75782
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2022-05";"AUP exkl moms";352529064
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2022-05";"Förpackningar";80781
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2022-06";"AUP exkl moms";361887560
"L - tumörer och rubbningar i immunsystemet";"Kvinna";"Alla åldrar";"2022-06";"Förpackningar";81497
